COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
10031176,8,F,M,P,C,1,1,30,04_PruCare Plus,01_Endowment
10031289,1078,M,M,P,C,1,1,45,02_CI Endowment,01_Endowment
10031341,1830,F,M,P,C,1,1,26,04_PruCare Plus,01_Endowment
10031813,1078,F,M,P,C,1,1,28,02_CI Endowment,01_Endowment
10031881,2309,F,M,P,C,1,1,31,02_CI Endowment,01_Endowment
10031963,1461,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10032680,2218,F,M,P,C,1,1,45,01_Endowment,01_Endowment
10032945,2309,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10033371,469,F,M,P,C,1,1,43,01_Endowment,01_Endowment
10033704,1078,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10034098,1489,F,M,P,C,1,1,22,01_Endowment,01_Endowment
10034226,2309,F,M,P,C,1,1,25,02_CI Endowment,01_Endowment
10034516,1489,F,M,P,C,1,1,30,05_ILP 2016 - Prulink,01_Endowment
10034684,1078,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10034913,1078,F,M,P,C,1,1,38,05_ILP 2016 - Prulink,01_Endowment
10036065,1078,M,M,P,C,1,1,48,01_Endowment,01_Endowment
10036276,218,M,M,P,C,1,1,34,01_Endowment,01_Endowment
10037402,1078,M,M,P,C,1,1,37,01_Endowment,01_Endowment
10037756,218,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10038501,2025,F,M,P,C,1,1,26,01_Endowment,01_Endowment
10038746,376,M,M,P,C,1,1,33,02_CI Endowment,01_Endowment
10039420,1078,F,M,P,C,1,1,35,02_CI Endowment,01_Endowment
10039971,8,M,M,P,C,1,1,24,01_Endowment,01_Endowment
10040531,1078,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10040647,218,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10040796,1516,M,M,P,C,1,1,58,02_CI Endowment,01_Endowment
10041136,1078,F,M,P,C,1,1,31,02_CI Endowment,01_Endowment
10041316,448,F,M,P,C,1,1,40,03_Universal life,01_Endowment
10041543,2309,F,M,P,C,1,1,26,01_Endowment,01_Endowment
10042099,2025,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10042227,218,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10042255,801,F,S,P,C,1,1,25,01_Endowment,01_Endowment
10043176,1516,M,M,P,C,1,1,43,02_CI Endowment,01_Endowment
10043202,2309,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10043297,1078,F,M,P,C,1,1,43,01_Endowment,01_Endowment
10043418,2025,F,M,P,C,1,1,28,01_Endowment,01_Endowment
10043676,2309,F,M,P,C,1,1,51,02_CI Endowment,01_Endowment
10043991,1078,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10044471,2025,M,M,P,C,1,1,32,01_Endowment,01_Endowment
10044566,1078,M,M,P,C,1,1,37,01_Endowment,01_Endowment
10044799,2025,F,M,P,C,1,1,25,02_CI Endowment,01_Endowment
10044945,1078,F,M,P,C,1,1,30,04_PruCare Plus,01_Endowment
10046823,456,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10046856,2309,F,M,P,C,1,1,35,05_ILP 2016 - Prulink,01_Endowment
10046897,1078,F,M,P,C,1,1,45,01_Endowment,01_Endowment
10047643,218,F,M,P,C,1,1,27,01_Endowment,01_Endowment
10047930,1450,M,M,P,C,1,1,45,01_Endowment,01_Endowment
10048431,213,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10050021,218,F,M,P,C,1,1,28,04_PruCare Plus,01_Endowment
10050427,1516,M,M,P,C,1,1,31,01_Endowment,01_Endowment
10050596,218,F,M,P,C,1,9,26,01_Endowment,01_Endowment
10050831,2025,F,M,P,C,1,1,56,02_CI Endowment,01_Endowment
10051353,1078,M,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10051619,1516,M,M,P,C,1,1,40,01_Endowment,01_Endowment
10051988,448,F,M,P,C,1,1,25,05_ILP 2016 - Prulink,01_Endowment
10052200,1489,F,M,P,C,1,1,44,02_CI Endowment,01_Endowment
10052726,218,F,M,P,C,1,1,37,02_CI Endowment,01_Endowment
10052770,1078,F,U,P,C,1,1,33,01_Endowment,01_Endowment
10052982,2025,F,M,P,C,1,1,38,02_CI Endowment,01_Endowment
10053131,2025,F,M,P,C,1,1,47,02_CI Endowment,01_Endowment
10053292,218,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10053656,2019,M,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10053885,1078,F,M,P,C,1,1,34,02_CI Endowment,01_Endowment
10054253,1078,M,M,P,C,1,1,26,01_Endowment,01_Endowment
10054275,218,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10054437,1078,F,M,P,C,1,1,36,02_CI Endowment,01_Endowment
10054587,1078,F,M,P,C,1,1,48,01_Endowment,01_Endowment
10054765,1078,F,M,P,C,1,1,33,02_CI Endowment,01_Endowment
10054929,1078,M,M,P,C,1,1,39,01_Endowment,01_Endowment
10054950,448,F,M,P,C,1,1,35,02_CI Endowment,01_Endowment
10055763,1078,M,M,P,C,1,1,25,02_CI Endowment,01_Endowment
10056029,2025,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10056088,1078,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10056115,1078,F,M,P,C,1,1,46,01_Endowment,01_Endowment
10056480,448,M,M,P,C,1,1,37,01_Endowment,01_Endowment
10056617,1078,F,M,P,C,1,1,29,05_ILP 2016 - Prulink,01_Endowment
10057786,1078,M,M,P,C,1,1,51,02_CI Endowment,01_Endowment
10058239,2025,M,M,P,C,1,1,43,02_CI Endowment,01_Endowment
10058496,1078,F,M,P,C,1,1,27,01_Endowment,01_Endowment
10058503,1090,M,M,P,C,1,1,38,01_Endowment,01_Endowment
10058772,448,F,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10058894,997,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10059032,218,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10059105,2309,F,M,P,C,1,1,28,04_PruCare Plus,01_Endowment
10059195,2025,M,S,P,C,1,1,28,02_CI Endowment,01_Endowment
10059754,1078,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10060239,2020,F,M,P,C,1,1,61,03_Universal life,01_Endowment
10060746,2309,F,M,P,C,1,1,32,02_CI Endowment,01_Endowment
10061281,2309,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10063618,1078,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10063943,448,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10064056,1516,M,M,P,C,1,1,48,02_CI Endowment,01_Endowment
10064086,218,F,M,P,C,1,1,34,04_PruCare Plus,01_Endowment
10064534,218,F,M,P,C,1,1,34,01_Endowment,01_Endowment
10064619,1489,M,M,P,C,1,1,37,05_ILP 2016 - Prulink,01_Endowment
